	is_ML	Total
1999-04-30	272	149051
1999-05-14	275	148701
1999-05-28	277	148886
1999-06-11	281	149032
1999-06-25	278	149079
1999-07-09	281	149069
1999-07-23	279	149334
1999-08-06	277	149540
1999-08-20	281	149755
1999-09-03	281	150451
1999-09-17	281	150668
1999-10-01	281	151145
1999-10-15	282	151077
1999-10-29	283	151015
1999-11-12	275	150893
1999-11-26	276	150652
1999-12-10	276	148572
1999-12-24	274	148528
2000-01-07	276	153928
2000-01-21	276	153722
2000-02-04	281	152928
2000-02-18	278	152960
2000-03-03	279	152724
2000-03-17	280	152784
2000-03-31	280	152746
2000-04-14	269	153070
2000-04-28	266	152803
2000-05-12	259	152670
2000-05-26	257	152334
2000-06-09	251	152166
2000-06-23	253	151766
2000-07-07	253	151642
2000-07-21	257	151501
2000-08-04	257	150551
2000-08-18	257	150425
2000-09-01	254	149267
2000-09-15	260	149423
2000-09-29	261	150016
2000-10-13	253	148497
2000-10-27	253	148738
2000-11-10	244	147319
2000-11-24	242	147952
2000-12-08	261	154151
2000-12-22	260	154524
2001-01-05	283	143156
2001-01-19	286	143300
2001-02-02	283	142665
2001-02-16	287	143674
2001-03-02	293	143744
2001-03-16	297	144689
2001-03-30	299	145678
2001-04-13	302	145971
2001-04-27	315	146979
2001-05-11	316	147285
2001-05-25	320	148214
2001-06-08	317	147248
2001-06-22	320	148486
2001-07-06	328	148111
2001-07-20	328	149194
2001-08-03	325	149820
2001-08-17	329	150995
2001-08-31	331	152039
2001-09-14	335	152496
2001-09-28	333	153451
2001-10-12	338	154660
2001-10-26	350	155682
2001-11-09	352	156257
2001-11-23	359	156816
2001-12-07	370	154504
2001-12-21	373	154490
2002-01-04	387	151428
2002-01-18	385	151545
2002-02-01	384	151502
2002-02-15	386	151615
2002-03-01	387	151434
2002-03-15	386	151539
2002-03-29	386	151831
2002-04-12	387	151269
2002-04-26	376	151685
2002-05-10	375	151372
2002-05-24	371	152038
2002-06-07	383	153501
2002-06-21	387	153498
2002-07-05	379	154458
2002-07-19	375	153993
2002-08-02	387	155828
2002-08-16	382	155783
2002-08-30	380	155128
2002-09-13	377	157410
2002-09-27	380	156412
2002-10-11	390	159082
2002-10-25	382	157633
2002-11-08	393	162000
2002-11-22	390	160887
2002-12-06	375	161669
2002-12-20	372	160828
2003-01-03	312	150060
2003-01-17	311	149679
2003-01-31	311	149489
2003-02-14	321	153755
2003-02-28	321	152785
2003-03-14	335	157066
2003-03-28	335	155999
2003-04-11	338	160313
2003-04-25	336	159040
2003-05-09	352	163009
2003-05-23	348	161441
2003-06-06	352	165435
2003-06-20	352	164494
2003-07-04	370	167627
2003-07-18	372	167229
2003-08-01	371	169781
2003-08-15	370	168723
2003-08-29	372	167681
2003-09-12	383	170070
2003-09-26	383	169592
2003-10-10	379	170993
2003-10-24	378	171165
2003-11-07	380	170636
2003-11-21	381	170733
2003-12-05	393	167805
2003-12-19	399	168440
2004-01-02	406	168345
2004-01-16	407	168410
2004-01-30	403	168457
2004-02-13	408	167540
2004-02-27	405	167581
2004-03-12	402	167480
2004-03-26	404	167875
2004-04-09	412	167888
2004-04-23	419	168225
2004-05-07	417	168779
2004-05-21	423	168784
2004-06-04	428	169362
2004-06-18	423	169334
2004-07-02	417	169757
2004-07-16	419	170125
2004-07-30	422	170258
